Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2040,2051,-4.80700726333652,-13.1157923127298,-0.0193374784163325,-0.000584,0.002298,-0.004554,-0.013489,0.084219,330.809154,25.088735,0.999763,0.994529,0.003132,0.053676,-0.000086,-0.000082,-0.000040,-0.000044,-0.000124,-46.649643,0.000174,
2160,2306,-2.23151719099554,-7.53573732050111,-0.00449286595863896,-0.000316,0.002951,-0.007607,0.009734,0.118585,326.202317,24.441634,0.999049,0.985325,0.004768,0.175872,-0.000020,0.000010,-0.000001,0.000010,-0.000020,-88.938483,0.000020,
2295,2666,0.641690252179888,0.327108995826997,-0.0259979175814351,-0.001000,0.002317,-0.005221,-0.027456,0.093066,319.716077,24.607054,0.999559,0.991375,0.003725,0.193171,-0.000029,-0.000014,-0.000002,-0.000014,-0.000029,-84.054994,0.000044,
2085,2186,-3.84596145177281,-10.1621163725146,0.00303705685246314,-0.000695,0.002648,-0.003425,-0.021226,0.119277,328.530604,24.722428,0.999079,0.984811,0.004892,0.181991,-0.000039,0.000003,0.000010,0.000006,-0.000041,76.970432,0.000044,
2145,2276,-2.55445356411883,-8.19226205365439,-0.0156498220608796,-0.000723,0.002598,-0.006941,-0.011397,0.110220,326.639028,24.342356,0.998806,0.983488,0.005197,0.306890,-0.000031,0.000005,-0.000004,0.000006,-0.000031,-83.625849,0.000033,
2475,2996,4.49536958548802,7.51771178393415,-0.010355457683545,-0.000478,0.002175,-0.005000,-0.002050,0.087132,314.488521,25.739432,0.999549,0.991968,0.003499,0.210846,-0.000042,-0.000016,-0.000015,-0.000009,-0.000048,-66.021325,0.000062,
2130,2276,-2.88045303418413,-8.19366537051663,-0.00117268001378079,-0.000775,0.002119,-0.004107,-0.022616,0.089496,326.809009,24.446654,0.998893,0.983527,0.005270,0.245185,-0.000029,0.000003,-0.000004,0.000003,-0.000029,-83.726887,0.000032,
2130,2261,-2.87722165514202,-8.52207754428826,0.00394462585967403,-0.000394,0.002019,-0.005254,-0.001767,0.072351,327.119312,24.483859,0.998995,0.984071,0.005093,0.182801,-0.000030,0.000002,0.000002,0.000002,-0.000030,85.643831,0.000034,
2505,3071,5.13263235993793,9.14943006738311,-0.00575987139978906,-0.000740,0.002387,-0.005152,-0.013037,0.090356,313.339918,26.102579,0.999760,0.993586,0.003443,0.234938,-0.000042,-0.000007,-0.000002,-0.000006,-0.000042,-86.536184,0.000053,
2070,2126,-4.16251605842836,-11.4770005258942,0.00852643067401004,-0.000244,0.002441,-0.005566,0.005362,0.088604,329.665051,24.799620,0.999141,0.985621,0.004873,0.152421,-0.000049,-0.000027,0.000012,-0.000022,-0.000054,66.511039,0.000078,
