Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2041,2203,-4.65986228187162,-9.64721196226431,-0.000230243485248138,0.003452,0.001506,-0.003067,0.167502,0.064141,328.764070,24.726746,0.998694,0.981844,0.005387,0.340877,-0.000001,-0.000004,0.000016,0.000014,-0.000018,42.222833,0.000019,
2491,3028,4.98727547008592,8.35470477348439,-0.00562485887525099,0.003803,0.000993,0.000691,0.172575,0.053472,314.627184,25.716643,0.999714,0.994017,0.003282,0.368471,0.000005,-0.000021,0.000002,0.000005,-0.000021,3.725039,0.000021,
2281,2008,0.609056983611858,-13.9283716069797,0.0249223313580273,0.004436,0.001418,-0.005062,0.220433,0.055605,331.321441,23.138044,0.999470,0.982646,0.005176,0.324389,-0.000003,-0.000004,-0.000001,-0.000002,-0.000004,-24.344288,0.000007,
2176,2848,-1.82813279099407,4.42364024828239,-0.0302124577415839,0.004209,0.000833,-0.002098,0.200612,0.042179,317.498203,24.569094,0.999334,0.991812,0.003665,0.381746,-0.000004,-0.000013,0.000008,0.000000,-0.000018,30.142288,0.000021,
2401,2563,3.11898366232429,-1.77565523850976,-0.0219119696877215,0.003695,0.001425,-0.001414,0.175253,0.079791,321.910409,23.974258,0.999397,0.987892,0.004373,0.446543,-0.000006,-0.000035,-0.000005,-0.000005,-0.000036,-8.963169,0.000044,
2296,2068,0.925754260934639,-12.6122531847413,0.0281523918002335,0.004247,0.001220,-0.002371,0.202868,0.059659,330.350942,23.157248,0.999258,0.982673,0.005123,0.339184,-0.000016,0.000002,-0.000003,0.000002,-0.000016,-80.360212,0.000018,
2386,2473,2.81048813615323,-3.74135024436185,-0.0159627633651098,0.004073,0.001459,-0.003993,0.201735,0.081467,323.433723,23.763860,0.999402,0.988687,0.004467,0.414349,-0.000008,-0.000038,0.000003,-0.000008,-0.000038,5.548205,0.000049,
2086,2398,-3.71015291967447,-5.38403122978507,-0.0132191723612323,0.004035,0.001477,-0.005286,0.201197,0.076716,325.307455,24.458368,0.998640,0.983968,0.005054,0.414117,0.000010,-0.000003,-0.000001,0.000010,-0.000003,-3.415052,0.000011,
2056,2263,-4.34140368927634,-8.33486446011241,-0.00496669610936351,0.004616,0.000858,-0.002899,0.220445,0.037643,327.728056,24.619239,0.999187,0.983122,0.005214,0.335776,-0.000009,0.000003,0.000014,0.000013,-0.000018,56.670443,0.000019,
2026,2083,-4.96749674379828,-12.2775649629276,0.0192449733331728,0.003663,0.001202,-0.003935,0.179236,0.033164,330.952762,24.821122,0.999263,0.986497,0.004669,0.343097,-0.000002,0.000025,0.000018,0.000034,-0.000010,63.851994,0.000035,
2296,2038,0.930904167393965,-13.2706770309917,0.0319621899766389,0.003727,0.000845,-0.001927,0.177406,0.051136,330.839686,23.137780,0.999319,0.984078,0.004989,0.283378,-0.000016,-0.000004,-0.000007,-0.000001,-0.000019,-65.737802,0.000022,
2131,2608,-2.76552680848124,-0.801986262034418,-0.0264439004421888,0.004299,0.001181,-0.005162,0.213638,0.053368,321.608927,24.387198,0.999452,0.989501,0.004298,0.420002,0.000006,-0.000006,0.000013,0.000014,-0.000014,32.624390,0.000016,
2056,2248,-4.33926795850839,-8.66365933775637,-0.00104836237244399,0.004143,0.000964,-0.004530,0.203321,0.031129,327.985102,24.598513,0.999155,0.985147,0.004844,0.352905,-0.000005,0.000027,0.000015,0.000033,-0.000011,68.337683,0.000034,
2371,2398,2.49799478934775,-5.38199686837354,-0.0074921719688632,0.003719,0.001333,-0.002682,0.180557,0.066205,324.689774,23.553619,0.999419,0.988211,0.004539,0.432140,-0.000013,-0.000001,0.000003,0.000000,-0.000013,78.580400,0.000015,
2221,3073,-0.887335382305789,9.31016881637014,0.015028715985693,0.003745,0.000809,-0.001062,0.176308,0.048411,314.051177,24.917136,0.999586,0.993340,0.003305,0.374712,-0.000002,-0.000033,-0.000006,-0.000001,-0.000034,-10.656682,0.000040,
2326,2188,1.55801197963221,-9.98067370614965,0.0173219355303331,0.004148,0.001286,-0.003585,0.202815,0.050810,328.309615,23.230663,0.999038,0.981968,0.005281,0.366316,-0.000020,-0.000012,-0.000001,-0.000012,-0.000020,-81.020407,0.000033,
2191,2953,-1.51894561926179,6.70337184248962,0.00298400518795461,0.003739,0.000237,0.004187,0.159219,0.042121,315.976724,24.672040,0.999416,0.991712,0.003687,0.396892,-0.000006,-0.000010,0.000005,-0.000002,-0.000014,33.094856,0.000018,
2026,2113,-4.9724456011526,-11.6197566494439,0.0139470073555685,0.003662,0.000544,0.000338,0.167320,0.043917,330.415980,24.791903,0.998440,0.977958,0.005966,0.370477,0.000002,-0.000009,0.000015,0.000013,-0.000019,35.533179,0.000020,
2206,2983,-1.1980738877395,7.35768940949294,-0.00714469391903094,0.004301,0.001345,-0.003336,0.209289,0.074382,315.407235,24.804315,0.999413,0.991606,0.003678,0.365078,-0.000007,-0.000018,0.000008,-0.000003,-0.000022,27.382003,0.000027,
